=== Scanner (4 threads) at Tue May 12 12:23:29 PM EEST 2026 ===
[MAIN] Resuming from checkpoint: 346864 (37060346864.lt)
[MAIN] Range: 0 to 9999999 (10,000,000 domains)
[MAIN] Threads: 4
[MAIN] Start: 2026-05-12 12:23:29
[PROGRESS] 495,000/10,000,000 (4.95%) | hits: 3 | errors: 394932 | 27.4 req/s | ETA: 96.5h
[PROGRESS] 500,000/10,000,000 (5.00%) | hits: 3 | errors: 399932 | 27.6 req/s | ETA: 95.5h
[PROGRESS] 505,000/10,000,000 (5.05%) | hits: 3 | errors: 404932 | 27.9 req/s | ETA: 94.5h
[PROGRESS] 510,000/10,000,000 (5.10%) | hits: 3 | errors: 409932 | 28.2 req/s | ETA: 93.5h
[PROGRESS] 515,000/10,000,000 (5.15%) | hits: 3 | errors: 414932 | 28.5 req/s | ETA: 92.5h
[PROGRESS] 520,000/10,000,000 (5.20%) | hits: 3 | errors: 419932 | 28.7 req/s | ETA: 91.6h
[PROGRESS] 525,000/10,000,000 (5.25%) | hits: 3 | errors: 424932 | 29.0 req/s | ETA: 90.7h
[PROGRESS] 530,000/10,000,000 (5.30%) | hits: 3 | errors: 429932 | 29.3 req/s | ETA: 89.8h
[PROGRESS] 535,000/10,000,000 (5.35%) | hits: 3 | errors: 434932 | 29.6 req/s | ETA: 88.9h
[PROGRESS] 540,000/10,000,000 (5.40%) | hits: 3 | errors: 439932 | 29.9 req/s | ETA: 88.0h
[PROGRESS] 545,000/10,000,000 (5.45%) | hits: 3 | errors: 444932 | 30.1 req/s | ETA: 87.2h
[PROGRESS] 550,000/10,000,000 (5.50%) | hits: 3 | errors: 449932 | 30.4 req/s | ETA: 86.3h
[PROGRESS] 555,000/10,000,000 (5.55%) | hits: 3 | errors: 454932 | 30.7 req/s | ETA: 85.5h
[PROGRESS] 560,000/10,000,000 (5.60%) | hits: 3 | errors: 459932 | 31.0 req/s | ETA: 84.7h
[PROGRESS] 565,000/10,000,000 (5.65%) | hits: 3 | errors: 464932 | 31.2 req/s | ETA: 83.9h
[PROGRESS] 570,000/10,000,000 (5.70%) | hits: 3 | errors: 469932 | 31.5 req/s | ETA: 83.1h
[PROGRESS] 575,000/10,000,000 (5.75%) | hits: 3 | errors: 474932 | 31.8 req/s | ETA: 82.4h
[PROGRESS] 580,000/10,000,000 (5.80%) | hits: 3 | errors: 477212 | 31.7 req/s | ETA: 82.5h
[PROGRESS] 585,000/10,000,000 (5.85%) | hits: 3 | errors: 477213 | 31.4 req/s | ETA: 83.3h
[PROGRESS] 590,000/10,000,000 (5.90%) | hits: 3 | errors: 477220 | 31.1 req/s | ETA: 84.1h
[PROGRESS] 595,000/10,000,000 (5.95%) | hits: 3 | errors: 477231 | 30.6 req/s | ETA: 85.3h
[PROGRESS] 600,000/10,000,000 (6.00%) | hits: 3 | errors: 477239 | 30.2 req/s | ETA: 86.3h
[PROGRESS] 605,000/10,000,000 (6.05%) | hits: 3 | errors: 477246 | 29.8 req/s | ETA: 87.6h
[PROGRESS] 610,000/10,000,000 (6.10%) | hits: 3 | errors: 477253 | 29.2 req/s | ETA: 89.2h
[PROGRESS] 615,000/10,000,000 (6.15%) | hits: 3 | errors: 477264 | 28.7 req/s | ETA: 90.9h
[PROGRESS] 620,000/10,000,000 (6.20%) | hits: 3 | errors: 477281 | 28.0 req/s | ETA: 93.0h
[PROGRESS] 625,000/10,000,000 (6.25%) | hits: 3 | errors: 477289 | 27.5 req/s | ETA: 94.6h
[PROGRESS] 630,000/10,000,000 (6.30%) | hits: 3 | errors: 477299 | 27.1 req/s | ETA: 95.9h
[PROGRESS] 635,000/10,000,000 (6.35%) | hits: 3 | errors: 477315 | 26.6 req/s | ETA: 97.7h
[PROGRESS] 640,000/10,000,000 (6.40%) | hits: 3 | errors: 477328 | 26.3 req/s | ETA: 98.9h
[PROGRESS] 645,000/10,000,000 (6.45%) | hits: 3 | errors: 477339 | 25.8 req/s | ETA: 100.6h
[PROGRESS] 650,000/10,000,000 (6.50%) | hits: 3 | errors: 477347 | 25.5 req/s | ETA: 101.9h
[PROGRESS] 655,000/10,000,000 (6.55%) | hits: 3 | errors: 477363 | 25.1 req/s | ETA: 103.5h
[PROGRESS] 660,000/10,000,000 (6.60%) | hits: 3 | errors: 477369 | 24.8 req/s | ETA: 104.8h
[PROGRESS] 665,000/10,000,000 (6.65%) | hits: 3 | errors: 477387 | 24.4 req/s | ETA: 106.3h
[PROGRESS] 670,000/10,000,000 (6.70%) | hits: 3 | errors: 477394 | 24.1 req/s | ETA: 107.6h
[PROGRESS] 675,000/10,000,000 (6.75%) | hits: 3 | errors: 477403 | 23.8 req/s | ETA: 108.9h
